,bill_number,bill_link,bill_description,bill_date,bill_section,bill_sponsor,Sponsor party
2460,S5054,https://www.nysenate.gov/legislation/bills/2015/s5054/amendment/original,Relates to severe child abuse and orders of protection in child abuse and neglect cases," November 20, 2015",Family Court Act,FELDER,
2461,S4903,https://www.nysenate.gov/legislation/bills/2015/s4903/amendment/original,Relates to the correction medical review board's access to autopsies," November 20, 2015",County Law,GALLIVAN,
2462,S3638A,https://www.nysenate.gov/legislation/bills/2015/s3638/amendment/a,Relates to oversight of developmental disability care organizations and coordinate services," November 20, 2015",Public Health Law,ORTT,
2463,S2388A,https://www.nysenate.gov/legislation/bills/2015/s2388/amendment/a,Establishes the New York state women's suffrage 100th anniversary commemoration commission and provides for its powers and duties," November 20, 2015",Commissions,LITTLE,
2464,S1567A,https://www.nysenate.gov/legislation/bills/2015/s1567/amendment/a,"Regulates occupational therapy assistants, state board for occupational therapy, license requirements and exceptions; repealer"," November 20, 2015",Education Law,LAVALLE,
2465,S3422,https://www.nysenate.gov/legislation/bills/2015/s3422/amendment/original,"Requires the conveyance of a paper street in the town of Westfield, county of Chautauqua, to be accompanied by a resolution of the town board of such town"," November 20, 2015",Real Property Law,YOUNG,
2466,A3208A,https://www.nysenate.gov/legislation/bills/2015/a3208/amendment/a,Prohibits the diversion of resources from dedicated funds derived from taxes and fees that support the Niagara frontier transportation authority," November 20, 2015",Executive Law,PEOPLES-STOKES,
2467,A3838B,https://www.nysenate.gov/legislation/bills/2015/a3838/amendment/b,Provides inmates the opportunity to take the test assessing secondary completion," November 20, 2015",Correction Law,AUBRY,
2468,A5619,https://www.nysenate.gov/legislation/bills/2015/a5619/amendment/original,Relates to residential qualifications for service on the examining board of plumbers in the city of Middletown," November 20, 2015",General City Law,GUNTHER,
2469,A6024A,https://www.nysenate.gov/legislation/bills/2015/a6024/amendment/a,Establishes the time periods for the payment of legacies to genetic children of the decedent without the accrual of interest," November 20, 2015","Estates, Powers and Trusts Law",WEINSTEIN,
2470,S5259,https://www.nysenate.gov/legislation/bills/2015/s5259/amendment/original,Authorizes the commissioner of general services to transfer real property to the village of Otisville," November 20, 2015","Ogdensburg, City of",BONACIC,
2471,A6222,https://www.nysenate.gov/legislation/bills/2015/a6222/amendment/original,Provides for the continuation of use of ignition interlock device where a person upon whom such use was imposed as a condition of probation remains delinquent," November 20, 2015",Penal Law,BUCHWALD,
2472,A6263,https://www.nysenate.gov/legislation/bills/2015/a6263/amendment/original,Relates to a trustee's authority to recant the invasion of a trust and provides that within certain time frames a trustee may revoke the exercise of the power to invade a new trust," November 20, 2015","Estates, Powers and Trusts Law",BRAUNSTEIN,
2473,A6946,https://www.nysenate.gov/legislation/bills/2015/a6946/amendment/original,Permits racing or licensing race meetings on Palm Sunday," November 20, 2015","Racing, Pari-Mutuel Wagering and Breeding Law",PRETLOW,
2474,A7202A,https://www.nysenate.gov/legislation/bills/2015/a7202/amendment/a,Updates the breastfeeding mother's bill of rights," November 20, 2015",Public Health Law,GUNTHER,
2475,A7221,https://www.nysenate.gov/legislation/bills/2015/a7221/amendment/original,Relates to counsel fees and expenses in matrimonial actions," November 20, 2015",Domestic Relations Law,WEINSTEIN,
2476,A7319,https://www.nysenate.gov/legislation/bills/2015/a7319/amendment/original,"Allows the unsealing of criminal records in any district court, city court or criminal court in the city of New York in certain instances"," November 20, 2015",Criminal Procedure Law,KAMINSKY,
2477,A7419,https://www.nysenate.gov/legislation/bills/2015/a7419/amendment/original,relates to tax check-off funds," November 20, 2015",State Finance Law,FARRELL,
2478,A7488,https://www.nysenate.gov/legislation/bills/2015/a7488/amendment/original,Relates to including occupational and physical therapists within the definition of telehealth providers," November 20, 2015",Public Health Law,GOTTFRIED,
2479,A7509,https://www.nysenate.gov/legislation/bills/2015/a7509/amendment/original,Increases the limit on certain investments," November 20, 2015",State Finance Law,FARRELL,
2480,A7520,https://www.nysenate.gov/legislation/bills/2015/a7520/amendment/original,Extends chapter 479 of the laws of 2011 relating to establishing the taxpayer refund choice act," November 20, 2015",Tax Law,PERRY,
2481,A7596,https://www.nysenate.gov/legislation/bills/2015/a7596/amendment/original,Clarifies the effect of registering an order appointing a guardian of another person or protective order from another state," November 20, 2015",Mental Hygiene Law,WEINSTEIN,
2482,A7943,https://www.nysenate.gov/legislation/bills/2015/a7943/amendment/original,Extends provisions of law relating to a health savings account pilot program," November 20, 2015",Insurance Law,CAHILL,
2483,S3907,https://www.nysenate.gov/legislation/bills/2015/s3907/amendment/original,Increases the mandatory retirement age from fifty-five to sixty for police officers in the town of Southampton," November 20, 2015",Retirement and Social Security Law,LAVALLE,
2484,S459,https://www.nysenate.gov/legislation/bills/2015/s459/amendment/original,Authorizes the provision of financing by the dormitory authority to the Gold Coast public library," November 20, 2015",Authorities,MARCELLINO,
2485,S1528A,https://www.nysenate.gov/legislation/bills/2015/s1528/amendment/a,Provides for respiratory disease and obesity managements," November 20, 2015",Public Health Law,KLEIN,
2486,S103,https://www.nysenate.gov/legislation/bills/2015/s103/amendment/original,Relates to administering tests to detect or screen for tuberculosis infections," November 20, 2015",Education Law,HOYLMAN,
2487,S5380,https://www.nysenate.gov/legislation/bills/2015/s5380/amendment/original,Relates to authorizing the commissioner of general services to transfer and convey certain state property to the town of Fallsburg," November 20, 2015",Towns,BONACIC,
2488,S5144,https://www.nysenate.gov/legislation/bills/2015/s5144/amendment/original,Relates to the election of trustees of the Wallkill public library district," November 20, 2015",Ulster County,BONACIC,
2489,A833A,https://www.nysenate.gov/legislation/bills/2015/a833/amendment/a,Establishes a gift for eliminating the stigma relating to mental illness on personal income tax returns," November 20, 2015",Tax Law,GUNTHER,
2490,A2469A,https://www.nysenate.gov/legislation/bills/2015/a2469/amendment/a,Relates to exempting victims of sex trafficking from the DNA databank fee," November 20, 2015",Criminal Procedure Law,PAULIN,
2491,S903,https://www.nysenate.gov/legislation/bills/2015/s903/amendment/original,"Provides a means of incorporation for organized groups affiliated with the Hindu, Sikh and Islamic faiths"," November 20, 2015",Religious Corporations Law,AVELLA,
2492,S4517,https://www.nysenate.gov/legislation/bills/2015/s4517/amendment/original,Provides for gifts on tax returns for autism awareness and research," November 20, 2015",Tax Law,LANZA,
2493,S4897,https://www.nysenate.gov/legislation/bills/2015/s4897/amendment/original,Relates to the restriction and regulation of advertising devices," November 20, 2015",Public Authorities Law,STEWART-COUSINS,
2494,S5501A,https://www.nysenate.gov/legislation/bills/2015/s5501/amendment/a,Authorizes the Ballston Spa Central School District to establish a semiconductor manufacturing tax stabilization reserve fund," November 20, 2015",General Municipal,FARLEY,
2495,S3913A,https://www.nysenate.gov/legislation/bills/2015/s3913/amendment/a,Relates to assault in the second degree," November 20, 2015",Penal Law,GRIFFO,
2496,S5692,https://www.nysenate.gov/legislation/bills/2015/s5692/amendment/original,Relates to the definition of wages earned from multiple employers and of plan year for the New York city retirement systems," November 20, 2015",Retirement and Social Security Law,SAVINO,
2497,S5767,https://www.nysenate.gov/legislation/bills/2015/s5767/amendment/original,Extends the enforcement of the collection of delinquent real property taxes and the collection of taxes by banks and enforcing the collection of taxes in certain villages," November 20, 2015",Real Property Taxation,MARTINS,
2498,S5263,https://www.nysenate.gov/legislation/bills/2015/s5263/amendment/original,Relates to the adoption of local laws to regulate taxicabs and limousines in the county of Suffolk," November 20, 2015",General Municipal Law,LAVALLE,
2499,S4521A,https://www.nysenate.gov/legislation/bills/2015/s4521/amendment/a,Relates to commercial food fish licenses for veterans," November 20, 2015",Environmental Conservation Law,CROCI,
2500,A5651A,https://www.nysenate.gov/legislation/bills/2015/a5651/amendment/a,Relates to the powers of the Ogdensburg bridge authority and the Ogdensburg port authority," November 20, 2015",Public Authorities Law,RUSSELL,
2501,A6079,https://www.nysenate.gov/legislation/bills/2015/a6079/amendment/original,Requires the department of law shall file annual reports of awards pursuant to the New York state equal access to justice act," November 20, 2015",Civil Practice Law and Rules,SIMON,
2502,A7725C,https://www.nysenate.gov/legislation/bills/2015/a7725/amendment/c,Relates to authorizing the issuance of certain accident and health insurance policies to an institution of higher education," November 20, 2015",Insurance Law,STIRPE,
2503,A3404,https://www.nysenate.gov/legislation/bills/2015/a3404/amendment/original,Relates to technology systems used for locating missing children with developmental disabilities," November 20, 2015",Financial Services,TITONE,
2504,S4336A,https://www.nysenate.gov/legislation/bills/2015/s4336/amendment/a,Allows the municipal volunteer fire department of the village of Fishkill to hold its annual meeting and election of company and chief officers in December of each year," November 20, 2015",Village Law,SERINO,
2505,S5286,https://www.nysenate.gov/legislation/bills/2015/s5286/amendment/original,Relates to adjudication and violation procedures in juvenile delinquency and PINS cases," November 20, 2015",Family Court Act,GALLIVAN,
2506,S4688A,https://www.nysenate.gov/legislation/bills/2015/s4688/amendment/a,Authorizes the town of Fallsburg to alienate certain parkland," November 20, 2015",Parks,BONACIC,
2507,S5288,https://www.nysenate.gov/legislation/bills/2015/s5288/amendment/original,"Provides that oil, gas, and mineral rights shall be sold along with any property sold pursuant to a tax foreclosure sale"," November 20, 2015",Real Property Tax Law,SEWARD,
2508,S4896A,https://www.nysenate.gov/legislation/bills/2015/s4896/amendment/a,"Repeals section 586 of the general municipal law, relating to the Ossining urban renewal agency"," November 20, 2015",General Municipal Law,CARLUCCI,
